partyPerson,2017-07-04 10:46:00 - Otro Documento,2017-07-04 13:28:00 - P. Resolución N° 891,2017-07-04 13:29:00 - P. Resolución N° 892,2017-07-04 13:29:00 - P. Resolución N° 893,2017-07-04 13:30:00 - P. Resolución N° 894,2017-07-04 13:31:00 - Boletín N° 10545-08,2017-07-04 13:32:00 - Boletín N° 10545-08,2017-07-04 13:33:00 - Boletín N° 10545-08,2017-07-04 18:31:00 - Otro Documento,2017-07-05 13:56:00 - Boletín N° 10277-06,2017-07-05 13:57:00 - Boletín N° 10277-06,2017-07-05 13:58:00 - Boletín N° 10277-06,2017-07-05 13:59:00 - Boletín N° 10277-06,2017-07-05 14:00:00 - Boletín N° 10277-06,2017-07-05 18:02:00 - P. Resolución N° 941,2017-07-05 18:04:00 - P. Resolución N° 942,2017-07-05 18:05:00 - P. Resolución N° 943,2017-07-05 18:08:00 - P. Resolución N° 944,2017-07-06 12:18:00 - P. Resolución N° 947,2017-07-06 12:21:00 - Boletín N° 10207-10
"RN - Monckeberg Díaz, Nicolás",,1.0,1.0,1.0,1.0,1.0,-1.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
"RN - Núñez Urrutia, Paulina",,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
"RN - Paulsen Kehr, Diego",1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
"RN - Pérez Lahsen, Leopoldo",1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0
"RN - Rathgeb Schifferli, Jorge",1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
"RN - Sabat Fernández, Marcela",,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,-1.0
"RN - Santana Tirachini, Alejandro",,1.0,1.0,1.0,1.0,1.0,-1.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
"RN - Verdugo Soto, Germán",1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0
"UDI - Alvarez-Salamanca Ramírez, Pedro Pablo",1.0,1.0,1.0,1.0,1.0,-2.0,-2.0,-2.0,1.0,1.0,1.0,1.0,1.0,-2.0,1.0,1.0,1.0,1.0,1.0,-2.0
"UDI - Barros Montero, Ramón",1.0,1.0,1.0,1.0,1.0,1.0,-2.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
"UDI - Bellolio Avaria, Jaime",,1.0,1.0,1.0,1.0,1.0,-2.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"UDI - Coloma Alamos, Juan Antonio",1.0,1.0,1.0,1.0,1.0,-2.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"UDI - De Mussy Hiriart, Felipe",,1.0,1.0,1.0,1.0,1.0,1.0,-2.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,-1.0
"UDI - Gahona Salazar, Sergio",,1.0,1.0,1.0,1.0,1.0,-2.0,-2.0,1.0,,,,,,,1.0,,1.0,,-1.0
"UDI - Hasbún Selume, Gustavo",,1.0,1.0,1.0,1.0,1.0,-2.0,-1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,
"UDI - Hernández Hernández, Javier",1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
"UDI - Hoffmann Opazo, María José",,1.0,1.0,1.0,1.0,1.0,-2.0,-2.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0
"UDI - Kort Garriga, Issa",1.0,1.0,1.0,1.0,1.0,1.0,-2.0,1.0,,,,,,,,,,,,
"UDI - Lavín León, Joaquín",,1.0,1.0,1.0,1.0,1.0,-2.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
"UDI - Macaya Danús, Javier",,1.0,1.0,1.0,1.0,1.0,-2.0,-2.0,1.0,,,,,,,,,,1.0,1.0
"UDI - Melero Abaroa, Patricio",,1.0,1.0,1.0,1.0,1.0,-2.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"UDI - Molina Oliva, Andrea",,1.0,1.0,1.0,1.0,-1.0,-2.0,-2.0,,1.0,1.0,1.0,1.0,1.0,,,,,,
"UDI - Morales Muñoz, Celso",,1.0,1.0,1.0,1.0,1.0,-2.0,-2.0,1.0,1.0,1.0,1.0,1.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0
"UDI - Nogueira Fernández, Claudia",1.0,1.0,1.0,1.0,1.0,-2.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
"UDI - Norambuena Farías, Iván",1.0,1.0,1.0,1.0,1.0,1.0,-2.0,-2.0,1.0,-1.0,-1.0,-1.0,-1.0,,1.0,1.0,1.0,1.0,,1.0
"UDI - Sandoval Plaza, David",1.0,1.0,1.0,1.0,1.0,1.0,-2.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"UDI - Silva Méndez, Ernesto",,1.0,1.0,1.0,1.0,1.0,-2.0,-1.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,,,,,,1.0
"UDI - Squella Ovalle, Arturo",,1.0,1.0,1.0,1.0,1.0,-2.0,-1.0,,-2.0,-2.0,-2.0,-2.0,-2.0,,,,,,1.0
"UDI - Trisotti Martínez, Renzo",1.0,1.0,1.0,1.0,1.0,1.0,-2.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"UDI - Turres Figueroa, Marisol",1.0,1.0,1.0,1.0,1.0,1.0,-2.0,-2.0,1.0,,,,,,,,,,1.0,1.0
"UDI - Ulloa Aguillón, Jorge",1.0,1.0,1.0,1.0,1.0,-1.0,-2.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0
"UDI - Urrutia Bonilla, Ignacio",,1.0,1.0,1.0,1.0,1.0,-2.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"UDI - Urrutia Soto, Osvaldo",,1.0,1.0,1.0,1.0,-1.0,-2.0,-2.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0
"UDI - Van Rysselberghe Herrera, Enrique",1.0,1.0,1.0,1.0,1.0,1.0,-2.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,,,,,
"UDI - Ward Edwards, Felipe",1.0,1.0,1.0,1.0,1.0,1.0,-2.0,-2.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,1.0,1.0,1.0,,
