,Person,vote,Fecha,Documento,Materia,Artículo,Tipo,Resultado,Afir.,Neg.,Abst.,Detalle,vote2,date,dateDoc
53,"Chahin Valenzuela, Fuad",En Contra,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
54,"De Mussy Hiriart, Felipe",En Contra,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
55,"Gahona Salazar, Sergio",En Contra,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
56,"Gutiérrez Gálvez, Hugo",En Contra,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
57,"Jackson Drago, Giorgio",En Contra,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
58,"Pacheco Rivas, Clemira",En Contra,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
59,"Pérez Lahsen, Leopoldo",En Contra,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
60,"Sabag Villalobos, Jorge",En Contra,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
61,"Sabat Fernández, Marcela",En Contra,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
62,"Saffirio Espinoza, René",En Contra,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
63,"Sepúlveda Orbenes, Alejandra",En Contra,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
64,"Teillier Del Valle, Guillermo",En Contra,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
65,"Vallejo Dowling, Camila",En Contra,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
66,"Vallespín López, Patricio",En Contra,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
67,"Alvarez-Salamanca Ramírez, Pedro Pablo",Abstención,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-2.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
68,"Auth Stewart, Pepe",Abstención,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-2.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
69,"Chávez Velásquez, Marcelo",Abstención,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-2.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
70,"Cicardini Milla, Daniella",Abstención,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-2.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
71,"Fuentes Castillo, Iván",Abstención,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-2.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
72,"Girardi Lavín, Cristina",Abstención,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-2.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
73,"Letelier Norambuena, Felipe",Abstención,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-2.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
74,"Lorenzini Basso, Pablo",Abstención,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-2.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
75,"Melo Contreras, Daniel",Abstención,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-2.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
76,"Saldívar Auger, Raúl",Abstención,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-2.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
77,"Schilling Rodríguez, Marcelo",Abstención,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-2.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
78,"Soto Ferrada, Leonardo",Abstención,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-2.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
79,"Tarud Daccarett, Jorge",Abstención,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-2.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
0,"Aguiló Melo, Sergio",A Favor,6 de jul de 2017 - 12:18,P. Resolución N° 947,Solicita a S.E. la Presidenta de la República solidarizar...,,,APROBADO,66,1,2,Ver,1.0,2017-07-06 12:18:00,2017-07-06 12:18:00 - P. Resolución N° 947
1,"Alvarado Ramírez, Miguel Ángel",A Favor,6 de jul de 2017 - 12:18,P. Resolución N° 947,Solicita a S.E. la Presidenta de la República solidarizar...,,,APROBADO,66,1,2,Ver,1.0,2017-07-06 12:18:00,2017-07-06 12:18:00 - P. Resolución N° 947
